# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 196.854 avgA: 305.13 avgB: 430.636 MNR: 0.648836 GNR: 0.542675 DICE: 0.532779
chA: 0 chB: 2 | avgC: 86.1418 avgA: 305.121 avgB: 399.59 MNR: 0.285792 GNR: 0.246324 DICE: 0.243162
chA: 0 chB: 3 | avgC: 99.1473 avgA: 305.116 avgB: 368.23 MNR: 0.33361 GNR: 0.293265 DICE: 0.290227
chA: 0 chB: 4 | avgC: 100.557 avgA: 305.111 avgB: 418.171 MNR: 0.333742 GNR: 0.280904 DICE: 0.276336
chA: 1 chB: 2 | avgC: 132.084 avgA: 430.636 avgB: 399.59 MNR: 0.33318 GNR: 0.31268 DICE: 0.311704
chA: 1 chB: 3 | avgC: 134.427 avgA: 430.636 avgB: 368.23 MNR: 0.358955 GNR: 0.330613 DICE: 0.328992
chA: 1 chB: 4 | avgC: 171.19 avgA: 430.636 avgB: 418.171 MNR: 0.414271 GNR: 0.396302 DICE: 0.395683
chA: 2 chB: 3 | avgC: 307.101 avgA: 399.59 avgB: 368.23 MNR: 0.83696 GNR: 0.787949 DICE: 0.785599
chA: 2 chB: 4 | avgC: 120.466 avgA: 399.59 avgB: 418.171 MNR: 0.303711 GNR: 0.290223 DICE: 0.289754
chA: 3 chB: 4 | avgC: 126.265 avgA: 368.23 avgB: 418.171 MNR: 0.342306 GNR: 0.316275 DICE: 0.314682

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 203.486 avgA: 306.428 avgB: 440.099 MNR: 0.668575 GNR: 0.55365 DICE: 0.542538
chA: 0 chB: 2 | avgC: 86.8626 avgA: 306.422 avgB: 403.959 MNR: 0.287678 GNR: 0.24682 DICE: 0.243426
chA: 0 chB: 3 | avgC: 102.842 avgA: 306.418 avgB: 393.11 MNR: 0.341168 GNR: 0.295076 DICE: 0.291215
chA: 0 chB: 4 | avgC: 101.333 avgA: 306.411 avgB: 423.545 MNR: 0.334638 GNR: 0.280567 DICE: 0.275764
chA: 1 chB: 2 | avgC: 137.671 avgA: 440.096 avgB: 403.959 MNR: 0.344195 GNR: 0.320887 DICE: 0.319702
chA: 1 chB: 3 | avgC: 147.929 avgA: 440.096 avgB: 393.11 MNR: 0.371312 GNR: 0.348485 DICE: 0.347408
